epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1493,0.93748,2.59214,1.17509,0.84888,0.94697,0.94743,0.76986,0.70831,1.00101,0.96695,0.00024293,0.00024293,0.00024293
2,87.5254,0.72959,0.92307,1.01735,0.81049,0.84201,0.89818,0.65986,0.89021,1.30845,1.12707,0.000491898,0.000491898,0.000491898
3,118.58,0.79304,0.79283,1.04804,0.56539,0.62117,0.65271,0.4985,0.8992,1.41145,1.1506,0.000732377,0.000732377,0.000732377
4,147.277,0.80393,0.76467,1.0806,0.60448,0.32172,0.41881,0.24965,1.41425,4.21816,1.67992,0.000964368,0.000964368,0.000964368
5,177.744,0.83601,0.73885,1.09367,0.55722,0.55702,0.51251,0.31374,1.48847,1.79986,1.59794,0.00118787,0.00118787,0.00118787
6,206.71,0.81247,0.68067,1.04381,0.67688,0.59367,0.67495,0.45799,1.129,1.93806,1.54422,0.00131111,0.00131111,0.00131111
7,235.718,0.81326,0.68083,1.04506,0.73438,0.56507,0.59917,0.42201,1.11212,2.06204,1.34678,0.00128753,0.00128753,0.00128753
8,262.796,0.81591,0.63143,1.06819,0.7383,0.52908,0.6586,0.448,1.09195,1.93177,1.34854,0.00126395,0.00126395,0.00126395
9,289.802,0.79061,0.59678,1.04591,0.49693,0.65048,0.54191,0.3541,1.18221,3.16154,1.34723,0.00124037,0.00124037,0.00124037
10,315.085,0.75382,0.58563,1.01671,0.8355,0.83302,0.85474,0.63635,0.91773,0.88582,1.1425,0.00121679,0.00121679,0.00121679
11,344.399,0.76906,0.62383,1.05277,0.84936,0.71798,0.8447,0.68471,0.85387,1.24134,1.07188,0.00119322,0.00119322,0.00119322
12,372.847,0.78012,0.59194,1.03732,0.81706,0.81158,0.88034,0.63625,0.89389,1.29316,1.12243,0.00116964,0.00116964,0.00116964
13,401.931,0.74002,0.56759,1.01763,0.81992,0.84902,0.87148,0.68625,0.83669,1.25774,1.08523,0.00114606,0.00114606,0.00114606
14,431.857,0.76887,0.59883,1.04857,0.84153,0.83308,0.93106,0.73368,0.77178,0.71278,1.0277,0.00112248,0.00112248,0.00112248
15,460.831,0.73354,0.55972,1.01164,0.85943,0.84724,0.89968,0.71912,0.83831,0.8731,1.04687,0.0010989,0.0010989,0.0010989
16,491.873,0.71347,0.55712,1.00866,0.93885,0.98382,0.97141,0.77452,0.74442,0.65111,1.01092,0.00107532,0.00107532,0.00107532
17,521.502,0.69849,0.50876,1.00235,0.92098,0.9697,0.97394,0.81504,0.72558,0.49947,0.99729,0.00105174,0.00105174,0.00105174
18,549.978,0.7308,0.51876,1.01538,0.92327,0.90897,0.9385,0.75569,0.79378,0.57333,1.02875,0.00102817,0.00102817,0.00102817
19,579.039,0.68512,0.51509,1.00659,0.95249,0.98063,0.97698,0.78122,0.72622,0.53095,0.99149,0.00100459,0.00100459,0.00100459
20,607.048,0.68219,0.49473,0.9926,0.91753,0.93679,0.97188,0.74909,0.80331,0.53968,1.05226,0.000981008,0.000981008,0.000981008
21,633.949,0.68582,0.52222,1.00819,0.98421,0.9657,0.9832,0.79416,0.73014,0.46348,0.9868,0.00095743,0.00095743,0.00095743
22,665.459,0.68993,0.48171,1.00063,0.98082,0.97252,0.98144,0.80513,0.74824,0.42292,1.00122,0.000933851,0.000933851,0.000933851
23,695.246,0.68204,0.47822,0.99696,0.9764,0.97386,0.9934,0.80066,0.73307,0.42167,0.98897,0.000910273,0.000910273,0.000910273
24,725.101,0.68909,0.46914,0.99032,0.97865,0.98182,0.98702,0.79589,0.75477,0.45656,0.97913,0.000886694,0.000886694,0.000886694
25,756.34,0.67923,0.46593,0.99755,0.98644,0.94667,0.98179,0.80583,0.71255,0.42777,0.95954,0.000863116,0.000863116,0.000863116
26,784.947,0.63127,0.43297,0.96506,0.95942,0.91326,0.97235,0.78878,0.71799,0.50765,0.96855,0.000839537,0.000839537,0.000839537
27,811.862,0.67968,0.46219,0.99895,0.94828,0.96408,0.97513,0.78594,0.75744,0.46308,0.97731,0.000815959,0.000815959,0.000815959
28,839.514,0.67323,0.46019,1.00559,0.99532,0.95392,0.98197,0.79999,0.74187,0.45042,0.99383,0.00079238,0.00079238,0.00079238
29,866.878,0.60877,0.41951,0.96648,0.99325,0.98247,0.98262,0.79636,0.70966,0.42774,0.99706,0.000768802,0.000768802,0.000768802
30,897.048,0.63485,0.41533,0.97903,0.98168,0.98485,0.98656,0.79038,0.73484,0.40996,1.00635,0.000745223,0.000745223,0.000745223
31,925.672,0.61672,0.42257,0.97058,0.99334,0.97601,0.99083,0.81985,0.72553,0.4207,1.00062,0.000721645,0.000721645,0.000721645
32,952.749,0.63526,0.41712,0.97731,0.99563,0.95382,0.99061,0.81009,0.70142,0.3863,0.98991,0.000698066,0.000698066,0.000698066
33,984.531,0.62583,0.41314,0.98909,0.98075,0.95023,0.97929,0.80247,0.73081,0.43444,0.9917,0.000674488,0.000674488,0.000674488
34,1012.06,0.63118,0.42032,0.96583,0.97916,0.97321,0.98195,0.80355,0.71375,0.39503,0.96333,0.000650909,0.000650909,0.000650909
35,1040.43,0.6079,0.39637,0.97226,0.99479,0.97533,0.98235,0.81209,0.7058,0.35735,0.97873,0.000627331,0.000627331,0.000627331
36,1070.31,0.60975,0.41596,0.97279,0.99313,0.98485,0.98276,0.82374,0.67111,0.35707,0.96388,0.000603752,0.000603752,0.000603752
37,1097.63,0.58567,0.39183,0.9623,0.99728,0.97557,0.98378,0.81844,0.6889,0.37318,0.9612,0.000580174,0.000580174,0.000580174
38,1126.87,0.5878,0.38062,0.96002,0.99486,0.97353,0.98244,0.81883,0.67627,0.39799,0.94852,0.000556595,0.000556595,0.000556595
39,1155.53,0.60104,0.38603,0.95495,0.98236,0.9856,0.99442,0.83675,0.66949,0.35191,0.95064,0.000533017,0.000533017,0.000533017
40,1186.05,0.56633,0.36031,0.94664,0.99474,0.98199,0.98327,0.82567,0.66075,0.35257,0.94423,0.000509438,0.000509438,0.000509438
41,1214.58,0.5961,0.37941,0.96377,0.99308,0.98182,0.98387,0.82719,0.67822,0.34647,0.9522,0.00048586,0.00048586,0.00048586
42,1241.55,0.56283,0.35726,0.94915,0.99667,0.97146,0.98384,0.84857,0.63065,0.32732,0.92368,0.000462281,0.000462281,0.000462281
43,1270.68,0.55455,0.3584,0.94591,0.99709,0.971,0.98452,0.83953,0.65815,0.33214,0.9407,0.000438703,0.000438703,0.000438703
44,1299.37,0.55971,0.36979,0.93204,0.99212,0.97813,0.99442,0.83868,0.67205,0.33679,0.95046,0.000415124,0.000415124,0.000415124
45,1329.65,0.56676,0.37135,0.94824,0.97933,0.98364,0.98021,0.83154,0.65787,0.3519,0.94017,0.000391546,0.000391546,0.000391546
46,1359.6,0.54315,0.34171,0.93178,0.99504,0.98137,0.98804,0.83095,0.65466,0.33496,0.92831,0.000367967,0.000367967,0.000367967
47,1390.32,0.55185,0.35279,0.93912,0.981,0.96181,0.99041,0.83385,0.68724,0.35247,0.93677,0.000344389,0.000344389,0.000344389
